,subjID,DOC,DOI,POC,POI,mid,ans,bll,ga,lf,mDOC,mDOI,mPOC,mPOI,mas,rmse
122,tkmy795t20200211,1.0,1.0,0.8,0.8,1203.0,1.5,0.1,1.0,0.5,0.6360000000000001,0.6659999999999999,0.43,0.3900000000000001,2.8,0.2979132939322536
123,ucnl2x7f20200212,1.0,1.0,0.8,0.8,1203.0,1.5,0.1,1.0,0.5,0.6360000000000001,0.6659999999999999,0.43,0.3900000000000001,2.8,0.2979132939322536
124,utt2nnyo20200113,0.6,0.8,0.4,0.4,1176.0,1.0,0.9,0.5,0.9,0.5780000000000001,0.708,0.38,0.384,2.8,0.3189135548710736
125,uy7f303a20201124,1.0,0.8,0.4,0.2,625.0,0.5,0.7,0.5,0.5,0.75,0.7739999999999999,0.29,0.21,3.2,0.4985162212814156
126,vbv8ea3920201207,1.0,1.0,0.8,0.8,1203.0,1.5,0.1,1.0,0.5,0.6360000000000001,0.6659999999999999,0.43,0.3900000000000001,2.8,0.2979132939322536
127,vd9r5nk020201111,1.0,0.33299999999999996,0.75,1.0,1404.0,1.5,0.9,0.5,0.7,0.5840000000000001,0.562,0.4320000000000001,0.392,2.8,0.3499181374258609
128,vmm0jyvv20200217,0.8,1.0,0.2,0.2,699.0,0.5,0.9,1.0,0.9,0.7200000000000003,0.8879999999999997,0.266,0.15600000000000006,2.8,0.5825366964248548
129,vomf13pu20200214,0.0,0.25,0.667,0.5,1344.0,1.5,0.7,0.5,0.5,0.516,0.604,0.436,0.33799999999999997,2.8,0.3907140815385402
130,w0wujzqz20201208,0.8,0.6,0.8,0.0,1295.0,1.5,0.3,2.0,1.0,0.5960000000000001,0.7739999999999998,0.4480000000000001,0.19,3.6,0.5170314950805505
131,x2qq61ea20200129,1.0,1.0,0.6,0.8,1296.0,1.5,0.5,0.5,0.5,0.6,0.6699999999999998,0.41400000000000015,0.4059999999999999,2.8,0.2840324877194348
132,x9y7eeqv20201103,0.0,0.2,0.0,0.2,1345.0,1.5,0.7,0.5,0.5,0.546,0.6160000000000001,0.39799999999999996,0.402,3.2,0.3100975969223329
133,xgy75o3f20201206,0.75,0.75,0.75,1.0,1212.0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.416,2.8,0.2988532693224191
134,y5qncmp920200228,0.6,1.0,0.6,0.2,1055.0,1.0,0.3,2.0,1.0,0.58,0.8879999999999996,0.4019999999999999,0.09000000000000002,3.6,0.6545021687118884
135,y8u8ss9t20201107,0.75,0.667,0.667,1.0,1392.0,1.5,0.9,0.5,0.5,0.5559999999999998,0.594,0.428,0.406,2.8,0.32413985599467904
136,ygepr20b20201121,1.0,1.0,1.0,1.0,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
137,yr4btkgb20201126,0.8,1.0,0.4,0.6,1176.0,1.0,0.9,0.5,0.9,0.5780000000000001,0.708,0.38,0.384,2.8,0.3189135548710736
138,za0p1wmj20201115,1.0,1.0,1.0,0.8,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
139,zalhzd5l20201120,1.0,1.0,1.0,1.0,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
140,zes08nnl20201116,0.75,0.5,1.0,0.8,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
