,alpha,egs,r1,r2,rmse,DOC,DOI,POC,POI
28,0.1,0.01,5.0,-0.1,1.1158304880776655,1.0,0.21399999999999994,0.0,0.7979999999999997
29,0.1,0.01,5.0,0.0,0.9854019228893717,1.0,0.32799999999999996,0.0,0.686
30,0.1,0.01,10.0,-10.0,1.394646564919659,1.0,0.0,0.0,1.0
31,0.1,0.01,10.0,-5.0,1.394646564919659,1.0,0.0,0.0,1.0
32,0.1,0.01,10.0,-1.0,1.394646564919659,1.0,0.0,0.0,1.0
33,0.1,0.01,10.0,-0.5,1.3754229742731499,1.0,0.016,0.0,0.9899999999999999
34,0.1,0.01,10.0,-0.1,1.1322829767558302,1.0,0.188,0.0,0.7879999999999999
35,0.1,0.01,10.0,0.0,0.994039768291513,1.0,0.29400000000000004,0.0,0.632
36,0.1,0.1,0.0,-10.0,1.0745900906015082,0.49799999999999983,0.0,0.564,0.998
37,0.1,0.1,0.0,-5.0,1.0413438692250625,0.4519999999999998,0.019999999999999997,0.528,0.9639999999999996
